cve_muni,entidad,municipio,ic_rezedu_porcentaje,ic_asalud_porcentaje,ic_segsoc_porcentaje,ic_cv_porcentaje,ic_sbv_porcentaje,ic_ali_porcentaje
07092,Chiapas,Tecpatán,36.4694066918,14.2333846796,91.207618019,28.0808038748,70.3390535461,27.8970040335
07093,Chiapas,Tenejapa,40.7548888158,8.9175036049,84.6821321055,46.7353082547,90.105998128,19.669103696
07094,Chiapas,Teopisca,49.7973316287,17.1610826134,94.5676695503,29.1941454775,59.5650095632,39.5843982741
07096,Chiapas,Tila,35.9814650211,16.9102539817,88.934384426,56.3772276218,93.2708700657,19.9659026331
07097,Chiapas,Tonalá,25.6807981952,14.9470915737,81.138566058,28.4310307396,55.730299124,39.5474108976
07098,Chiapas,Totolapa,41.3423230156,11.1707018082,83.5427520686,49.9693533558,85.2436408213,56.4970885688
07099,Chiapas,La Trinitaria,39.5665964549,13.6182056687,88.0590811078,17.2497695906,73.5786806486,31.0218158259
07100,Chiapas,Tumbalá,37.4310506113,13.6253669236,90.8615851102,39.6696880746,95.2420889649,11.1738331022
07101,Chiapas,Tuxtla Gutiérrez,13.442253559,24.8138451494,60.2990508394,13.8659280832,13.3167869345,19.2523740287
07102,Chiapas,Tuxtla Chico,22.0575965327,21.2974284477,79.8730082845,29.151779745,74.4353356341,17.9081418904
07103,Chiapas,Tuzantán,29.3957114624,21.5420291514,85.7858575548,33.0168719418,75.7441406887,30.0166970519
07104,Chiapas,Tzimol,42.6140797549,9.3033245772,91.7359690102,13.6057501752,63.4140602584,21.9228837574
07105,Chiapas,Unión Juárez,24.877962129,22.0927339456,78.031539692,24.2023105084,64.6242188339,22.2832241921
07106,Chiapas,Venustiano Carranza,39.523698757,14.3406230024,85.5510925885,31.8386717371,58.6504206076,39.0049876987
07107,Chiapas,Villa Corzo,34.1083771068,15.9337746149,91.5412067932,31.9476637391,63.4744434557,34.4257694468
07108,Chiapas,Villaflores,29.3468914676,15.7981026112,84.8523296826,24.9418519591,48.1724123329,30.3298993338
07109,Chiapas,Yajalón,35.6236513145,18.2223765029,89.4285819142,36.591412694,51.1684952912,19.8262953427
07110,Chiapas,San Lucas,40.0170940171,4.7008547009,92.8376068376,50.8547008547,75.3333333333,38.905982906
07111,Chiapas,Zinacantán,55.9012265454,15.8638615872,94.6903852923,36.7151328081,68.4022418975,33.7584274226
07112,Chiapas,San Juan Cancuc,42.5170388517,11.7874305098,80.379408901,71.9494959013,97.735481642,32.4162191024
07113,Chiapas,Aldama,40.711030082,11.9416590702,97.0282588879,45.451230629,63.2087511395,10.9206927985
07114,Chiapas,Benemérito de las Américas,36.3385887623,24.0369771221,91.759683237,29.1107465791,78.1840517846,23.7720889455
07115,Chiapas,Maravilla Tenejapa,44.533908857,10.6499543455,78.1190337843,42.101768075,81.854403586,26.6705403835
07116,Chiapas,Marqués de Comillas,39.6230382254,16.7466813417,95.7645244017,27.6463320775,88.3709139543,30.5809843773
07117,Chiapas,Montecristo de Guerrero,39.2033220548,8.2897569978,95.232236235,34.2663795755,40.4183328207,27.1301138111
07118,Chiapas,San Andrés Duraznal,49.280104712,26.9197207679,86.2565445026,28.42495637,94.34991274,5.7373472949
07119,Chiapas,Santiago el Pinar,41.6819012797,2.1328458257,96.9835466179,48.9031078611,77.6965265082,2.2851919561
08001,Chihuahua,Ahumada,28.9582211605,10.4515229925,56.0068931935,5.2666026464,5.418322602,6.0753221301
08002,Chihuahua,Aldama,17.2230690963,7.2122680066,47.1741249498,4.7893505209,1.4964631403,11.4383009157
08003,Chihuahua,Allende,19.094021596,14.7089807743,50.9481169344,6.1364234922,4.0558335528,11.6802739004
08004,Chihuahua,Aquiles Serdán,15.1635250847,5.7583684454,31.2742718089,2.400281222,0.4969905335,17.5108312308
08005,Chihuahua,Ascensión,28.4189743649,20.559689649,74.124651127,8.8645194028,5.4263681271,14.4319229745
08006,Chihuahua,Bachíniva,34.4102831336,8.3203057148,66.0587111343,4.4815007817,14.8341149904,18.3949973945
08007,Chihuahua,Balleza,35.6975684396,16.899675832,75.8797782551,19.0067467715,49.7324784579,28.8979092276
08008,Chihuahua,Batopilas,39.3132788901,9.1209074503,81.2852686422,36.5008779596,74.537519201,34.340375094
08009,Chihuahua,Bocoyna,23.7058114407,13.0039842037,74.3424534608,17.6634808934,33.0135243715,16.5863664156
08010,Chihuahua,Buenaventura,0,0,0,0,0,0
08011,Chihuahua,Camargo,14.6974467962,7.6276729182,51.5134034078,2.1426862386,1.4985023321,13.2375862969
08012,Chihuahua,Carichí,0,0,0,0,0,0
08013,Chihuahua,Casas Grandes,22.9135043598,12.3118553261,52.8872851359,4.6939392069,9.6590892199,9.4946745275
08014,Chihuahua,Coronado,23.1822971549,7.2708113804,77.9768177028,4.320337197,7.0600632244,7.9557428872
